	Feature 1	Feature 2	proportion
0	ant	distr	0.0455
1	back	front	0.0327
2	hi	front	0.0312
3	tense	long	0.0282
4	back	round	0.0268
5	cor	distr	0.0243
6	cg	lo	0.0242
7	dorsal	hi	0.0213
8	hi	back	0.0213
9	cor	ant	0.0203
10	hi	lo	0.0203
11	lo	front	0.0193
12	front	round	0.0192
13	hitone	loreg	0.0183
14	hi	round	0.0168
15	dorsal	distr	0.0164
16	dorsal	front	0.0156
17	front	distr	0.0155
18	hi	distr	0.0149
19	dorsal	ant	0.0147
20	front	ant	0.0138
21	lo	back	0.0138
22	dorsal	back	0.0137
23	back	distr	0.0124
24	hi	ant	0.0123
25	lo	tense	0.0122
26	delrel	strid	0.0114
27	hi	tense	0.0111
28	cont	strid	0.011
29	cor	back	0.0105
30	lo	round	0.0101
31	back	ant	0.0088
32	cor	lab	0.0087
33	cor	dorsal	0.0084
34	lab	ant	0.0082
35	lab	distr	0.0076
36	cor	front	0.0076
37	hireg	loreg	0.0071
38	ant	strid	0.0066
39	cons	dorsal	0.0064
40	cor	hi	0.0063
41	tense	round	0.0061
42	distr	strid	0.0056
43	back	tense	0.0056
44	front	tense	0.0054
45	cons	hi	0.0052
46	dorsal	lab	0.0049
47	lo	ant	0.0048
48	cont	ant	0.0048
49	front	strid	0.0046
50	hi	long	0.0045
51	lab	front	0.0044
52	voi	strid	0.0044
53	cg	closing	0.0043
54	lo	closing	0.0043
55	delrel	front	0.0042
56	cont	distr	0.0042
57	frontshift	longdistance	0.0042
58	lo	distr	0.0041
59	cont	cor	0.004
60	hitone	hireg	0.0039
61	lo	strid	0.0038
62	cont	lab	0.0037
63	dorsal	lo	0.0036
64	cons	ant	0.0035
65	cons	distr	0.0032
66	frontshift	secondrounded	0.0031
67	cg	front	0.003
68	cor	strid	0.003
69	hi	strid	0.0029
70	hi	frontshift	0.0029
71	lab	strid	0.0028
72	cg	distr	0.0027
73	cg	strid	0.0027
74	delrel	ant	0.0027
75	cont	voi	0.0027
76	lab	back	0.0027
77	voi	distr	0.0026
78	sg	cg	0.0025
79	delrel	dorsal	0.0025
80	delrel	lab	0.0025
81	longdistance	secondrounded	0.0025
82	cons	son	0.0024
83	voi	cg	0.0024
84	dorsal	strid	0.0024
85	cont	sg	0.0024
86	delrel	cor	0.0024
87	cont	nas	0.0023
88	hi	longdistance	0.0023
89	hi	secondrounded	0.0023
90	son	strid	0.0022
91	cor	tense	0.0022
92	son	dorsal	0.0021
93	laryngeal	back	0.0021
94	voi	lo	0.0021
95	sg	strid	0.0021
96	voi	ant	0.002
97	delrel	distr	0.002
98	cg	laryngeal	0.002
99	frontshift	closing	0.0019
100	syl	tense	0.0019
101	son	hi	0.0018
102	son	voi	0.0018
103	tense	ant	0.0018
104	tense	distr	0.0018
105	round	ant	0.0018
106	front	longdistance	0.0018
107	son	front	0.0017
108	cons	front	0.0017
109	nas	voi	0.0017
110	lo	long	0.0017
111	laryngeal	front	0.0017
112	voi	dorsal	0.0017
113	voi	hi	0.0017
114	front	frontshift	0.0017
115	front	secondrounded	0.0017
116	loreg	falling	0.0017
117	son	nas	0.0016
118	syl	delrel	0.0016
119	round	distr	0.0016
120	cg	dorsal	0.0015
121	sg	distr	0.0015
122	cg	ant	0.0015
123	hitone	falling	0.0015
124	hireg	falling	0.0015
125	frontshift	opening	0.0014
126	cont	hi	0.0014
127	laryngeal	distr	0.0014
128	cg	back	0.0014
129	laryngeal	dorsal	0.0014
130	backshift	closing	0.0013
131	opening	closing	0.0013
132	dorsal	round	0.0013
133	son	cont	0.0013
134	delrel	cg	0.0012
135	sg	lo	0.0012
136	nas	strid	0.0012
137	cons	cg	0.0012
138	cons	lo	0.0012
139	cons	cont	0.0012
140	laryngeal	lo	0.0012
141	cons	tense	0.0012
142	lab	lo	0.0012
143	frontshift	centering	0.0012
144	lab	hi	0.0012
145	cont	front	0.0011
146	laryngeal	cor	0.0011
147	laryngeal	hi	0.0011
148	delrel	tense	0.0011
149	cons	syl	0.0011
150	syl	dorsal	0.0011
151	delrel	hi	0.001
152	son	back	0.001
153	son	lo	0.001
154	delrel	lo	0.001
155	cont	lo	0.001
156	cons	nas	0.001
157	syl	lab	0.001
158	voi	back	0.001
159	lat	round	0.001
160	sg	ant	0.0009
161	son	distr	0.0009
162	back	strid	0.0009
163	dorsal	hitone	0.0009
164	cont	delrel	0.0009
165	cons	back	0.0009
166	cont	lat	0.0009
167	cont	dorsal	0.0008
168	voi	sg	0.0008
169	cg	hi	0.0008
170	syl	cor	0.0008
171	cg	cor	0.0008
172	cons	round	0.0008
173	nas	lo	0.0008
174	lo	frontshift	0.0008
175	centering	longdistance	0.0008
176	opening	longdistance	0.0008
177	opening	secondrounded	0.0008
178	centering	secondrounded	0.0008
179	front	long	0.0008
180	delrel	nas	0.0007
181	hi	closing	0.0007
182	cont	back	0.0007
183	closing	centering	0.0007
184	closing	longdistance	0.0007
185	backshift	longdistance	0.0007
186	lat	back	0.0007
187	cons	voi	0.0007
188	back	long	0.0007
189	lab	tense	0.0007
190	dorsal	tense	0.0007
191	delrel	backshift	0.0006
192	delrel	closing	0.0006
193	cg	backshift	0.0006
194	voi	closing	0.0006
195	lo	backshift	0.0006
196	laryngeal	round	0.0006
197	sg	closing	0.0006
198	distr	closing	0.0006
199	hi	hitone	0.0006
200	strid	closing	0.0006
201	son	cg	0.0006
202	delrel	hitone	0.0006
203	delrel	loreg	0.0006
204	dorsal	loreg	0.0006
205	hi	opening	0.0006
206	cont	cg	0.0006
207	nas	ant	0.0006
208	nas	distr	0.0006
209	laryngeal	strid	0.0006
210	lo	centering	0.0006
211	lo	longdistance	0.0006
212	front	opening	0.0006
213	hi	centering	0.0006
214	lab	frontshift	0.0006
215	lab	longdistance	0.0006
216	lab	secondrounded	0.0006
217	backshift	frontshift	0.0006
218	laryngeal	ant	0.0005
219	delrel	sg	0.0005
220	syl	front	0.0005
221	delrel	back	0.0005
222	son	round	0.0005
223	cont	round	0.0005
224	lat	front	0.0005
225	lat	ant	0.0005
226	nas	lab	0.0005
227	round	long	0.0005
228	syl	hi	0.0004
229	voi	front	0.0004
230	nas	hi	0.0004
231	syl	round	0.0004
232	cor	round	0.0004
233	lat	distr	0.0004
234	nas	cor	0.0004
235	delrel	round	0.0003
236	lab	round	0.0003
237	backshift	opening	0.0003
238	syl	lo	0.0003
239	delrel	voi	0.0003
240	cg	hireg	0.0003
241	lo	hireg	0.0003
242	back	hireg	0.0003
243	front	hireg	0.0003
244	closing	secondrounded	0.0003
245	syl	ant	0.0003
246	syl	distr	0.0003
247	voi	laryngeal	0.0003
248	nas	tense	0.0003
249	dorsal	rising	0.0003
250	round	hitone	0.0003
251	round	rising	0.0003
252	hitone	rising	0.0003
253	cor	lo	0.0003
254	nas	back	0.0003
255	nas	front	0.0003
256	nas	round	0.0003
257	cont	falling	0.0003
258	lat	cg	0.0003
259	lat	falling	0.0003
260	cg	round	0.0003
261	cg	falling	0.0003
262	front	falling	0.0003
263	round	falling	0.0003
264	lat	nas	0.0003
265	son	lab	0.0003
266	cons	cor	0.0003
267	lat	hi	0.0003
268	son	cor	0.0003
269	son	ant	0.0003
270	voi	lab	0.0003
271	long	ant	0.0003
272	cont	long	0.0003
273	cons	lab	0.0002
274	nas	long	0.0002
275	lab	long	0.0002
276	long	strid	0.0002
277	cor	long	0.0002
278	tense	frontshift	0.0002
279	cont	tense	0.0002
280	long	frontshift	0.0002
281	dorsal	long	0.0002
282	opening	centering	0.0002
283	long	distr	0.0002
284	lat	cor	0.0001
285	lat	lab	0.0001
286	son	tense	0.0001
287	voi	cor	0.0001
288	voi	tense	0.0001
289	delrel	long	0.0001
290	tense	opening	0.0001
291	lat	tense	0.0001
292	cons	strid	0.0001
293	syl	back	0.0001
294	voi	long	0.0001
295	son	lat	0.0001
296	backshift	centering	0.0001
297	backshift	secondrounded	0.0001
298	cons	delrel	0.0001
299	long	closing	0.0001
300	lat	voi	0.0001
301	tense	closing	0.0001
302	tense	centering	0.0001
303	cons	lat	0.0001
304	lat	dorsal	0.0001
305	tense	secondrounded	0.0001
306	son	long	0.0001
307	long	secondrounded	0.0001
308	syl	long	0.0001
309	long	backshift	0.0001
310	nas	dorsal	0.0
311	ant	opening	0.0
312	syl	nas	0.0
313	cons	long	0.0
314	sg	cor	0.0
315	sg	back	0.0
316	son	sg	0.0
317	sg	dorsal	0.0
318	sg	lab	0.0
319	lat	long	0.0
320	tense	longdistance	0.0
321	syl	voi	0.0
322	front	centering	0.0
323	round	opening	0.0
324	round	centering	0.0
325	round	longdistance	0.0
326	delrel	lat	0.0
327	lat	lo	0.0
328	lo	secondrounded	0.0
329	long	centering	0.0
330	long	longdistance	0.0
331	son	delrel	0.0
